SAMPLE	RAW_READS	TRIMMED_READS	TOTAL_MAPPINGS	DUPLICATES_DETECTED	MAPPINGS_POST_FILTERING	POP
CL_1 	 61756328 	 60515962	58638967	3678309	42779510	CL
CL_2 	 99774458 	 97882558	94839920	5785436	69565701	CL
CL_3 	 96409828 	 92943592	89955536	5728720	64336032	CL
CL_4 	 57385744 	 56122644	54376130	3384483	39568166	CL
CL_5 	 51825176 	 49808752	48188040	2849220	34477409	CL
CL_6 	 66656598 	 64735606	62427500	3773383	45608980	CL
CLP_1 	 59304898 	 57214842	55227242	3427383	40531929	CLP
CLP_2 	 70623926 	 68392668	65942791	4459706	48158612	CLP
CLP_3 	 98389272 	 94723928	91658037	5644819	65954366	CLP
CLP_4 	 69924272 	 67476732	65189185	4573182	46891439	CLP
CLP_5 	 84034792 	 81291734	78410746	5500463	57109934	CLP
CLP_6 	 97689796 	 93990226	90836203	6891883	65385413	CLP
CS_1 	 76082270 	 73729270	71169316	4784194	51922862	CS
CS_2 	 72128202 	 69666346	67261377	4260850	49558329	CS
CS_3 	 68535568 	 66784598	64869270	4143160	48776174	CS
CS_5 	 75917232 	 74059434	71760922	4403643	52503142	CS
CS_6 	 64004962 	 61921988	59831080	4224183	43734808	CS
CS_7 	 69777108 	 68030738	65877071	4122388	48391958	CS
DEBY_1 	 70340066 	 68129214	65984679	4204859	48013858	DEBY
DEBY_2 	 61820396 	 59393626	57501832	3569039	41033127	DEBY
DEBY_3 	 90050284 	 88202564	85646456	5163796	62737184	DEBY
DEBY_4 	 54919768 	 52712608	51030035	3250463	37069517	DEBY
DEBY_5 	 66912230 	 65379052	63242334	4157130	46365584	DEBY
DEBY_6 	 69395392 	 67069200	64901712	4409876	46839037	DEBY
HC_1 	 77293636 	 74906388	72425035	5835437	52186665	HC
HC_3 	 63112478 	 61557868	59524843	4346896	43322163	HC
HC_4 	 79754444 	 77660564	75074963	5501949	54611969	HC
HC_5 	 90033632 	 87108604	84111972	5616048	61600005	HC
HC_6 	 56048260 	 54559620	52342661	3436210	38373096	HC
HC_7 	 154599222 	 148626848	143848308	8804482	103414438	HC
HC_VA_1 	 85940448 	 82636266	79780756	5891673	57681262	HC-VA
HC_VA_2 	 82902150 	 79755572	77204226	5527680	55580071	HC-VA
HC_VA_3 	 63890928 	 61749506	59643898	3294694	44391895	HC-VA
HC_VA_4 	 69606580 	 67810232	65615532	3866507	48549698	HC-VA
