SAMPLE	RAW_READS	TRIMMED_READS	TOTAL_MAPPINGS	DUPLICATES_DETECTED	MAPPINGS_POST_FILTERING	POP
CL_1 	 61756328 	 60515962	58792994	3610775	41417721	CL
CL_2 	 99774458 	 97882558	95094136	5674605	67388718	CL
CL_3 	 96409828 	 92943592	90181900	5599577	62143042	CL
CL_4 	 57385744 	 56122644	54522577	3320852	38244358	CL
CL_5 	 51825176 	 49808752	48314973	2791733	33320632	CL
CL_6 	 66656598 	 64735606	62609727	3702975	44146068	CL
CLP_1 	 59304898 	 57214842	55388084	3371633	39433861	CLP
CLP_2 	 70623926 	 68392668	66130606	4388533	46883686	CLP
CLP_3 	 98389272 	 94723928	91898433	5527982	64118169	CLP
CLP_4 	 69924272 	 67476732	65370779	4476255	45558283	CLP
CLP_5 	 84034792 	 81291734	78650383	5411942	55597354	CLP
CLP_6 	 97689796 	 93990226	91102894	6766237	63595134	CLP
CS_1 	 76082270 	 73729270	71383322	4699062	50494450	CS
CS_2 	 72128202 	 69666346	67474877	4188203	48226389	CS
CS_3 	 68535568 	 66784598	65047586	4075430	47583908	CS
CS_5 	 75917232 	 74059434	71952425	4315009	51008408	CS
CS_6 	 64004962 	 61921988	60006329	4158286	42557317	CS
CS_7 	 69777108 	 68030738	66063487	4053809	47037945	CS
DEBY_1 	 70340066 	 68129214	66164945	4122462	46680477	DEBY
DEBY_2 	 61820396 	 59393626	57645855	3488757	39723953	DEBY
DEBY_3 	 90050284 	 88202564	85852948	5060844	60888813	DEBY
DEBY_4 	 54919768 	 52712608	51166462	3190492	35998396	DEBY
DEBY_5 	 66912230 	 65379052	63419266	4087871	45066905	DEBY
DEBY_6 	 69395392 	 67069200	65076101	4327613	45517708	DEBY
HC_1 	 77293636 	 74906388	72629897	5739699	50785966	HC
HC_3 	 63112478 	 61557868	59697110	4280145	42155592	HC
HC_4 	 79754444 	 77660564	75281513	5417016	53141136	HC
HC_5 	 90033632 	 87108604	84359499	5513394	59972504	HC
HC_6 	 56048260 	 54559620	52494916	3382841	37334935	HC
HC_7 	 154599222 	 148626848	144224018	8543578	100379268	HC
HC_VA_1 	 85940448 	 82636266	80020832	5782645	56110025	HC-VA
HC_VA_2 	 82902150 	 79755572	77424184	5419862	54056327	HC-VA
HC_VA_3 	 63890928 	 61749506	59825571	3234312	43190499	HC-VA
HC_VA_4 	 69606580 	 67810232	65798257	3800871	47198225	HC-VA
HC_VA_5 	 79755810 	 77137600	74697466	5278626	52802055	HC-VA
HC_VA_6 	 85495276 	 82438178	79931281	6015385	56165305	HC-VA
HG_HG0F2 	 81488634 	 79609440	78736248	4611315	64650437	HG
HG_HG2F1 	 107490278 	 104562398	103124360	7327313	78504587	HG
HG_HG2M5 	 65635204 	 64848234	64374580	4177329	48847629	HG
HI_1 	 78587340 	 76634458	74261901	5028043	53294696	HI
