Mean_Filtered_Coverage	Mean_Unfiltered_Coverage	Sample	POP
77.48	85.3575	CL_1	CL
79.5246	86.9888	CL_2	CL
79.7683	87.5182	CL_3	CL
76.6349	84.832	CL_4	CL
76.5747	84.8765	CL_5	CL
77.9069	85.751	CL_6	CL
79.8969	86.853	CLP_1	CLP
80.9544	87.74	CLP_2	CLP
82.0712	88.6506	CLP_3	CLP
80.3237	87.3222	CLP_4	CLP
81.3275	87.9937	CLP_5	CLP
82.3502	88.7637	CLP_6	CLP
80.5646	87.477	CS_1	CS
80.5359	87.3619	CS_2	CS
81.4316	87.9236	CS_3	CS
80.2374	87.2494	CS_5	CS
79.692	86.6288	CS_6	CS
79.6759	86.7929	CS_7	CS
80.5127	87.4296	DEBY_1	DEBY
79.4019	87.0883	DEBY_2	DEBY
80.898	87.865	DEBY_3	DEBY
79.0749	86.3471	DEBY_4	DEBY
79.5951	86.8178	DEBY_5	DEBY
80.1616	87.1723	DEBY_6	DEBY
80.3062	87.2464	HC_1	HC
79.2234	86.439	HC_3	HC
80.7381	87.5876	HC_4	HC
81.3642	87.9425	HC_5	HC
79.3349	86.5105	HC_6	HC
84.073	90.2442	HC_7	HC
81.8589	88.5127	HC_VA_1	HC-VA
81.6542	88.3048	HC_VA_2	HC-VA
79.7823	86.7738	HC_VA_3	HC-VA
80.0706	87.1651	HC_VA_4	HC-VA
80.9334	87.7156	HC_VA_5	HC-VA
81.4786	88.1368	HC_VA_6	HC-VA
98.1506	99.6608	HG_HG0F2	HG
94.1229	96.7679	HG_HG2F1	HG
90.9396	95.4858	HG_HG2M5	HG
81.1001	87.7458	HI_1	HI
83.4138	89.4068	HI_2	HI
80.9937	87.8206	HI_3	HI
80.4514	87.2802	HI_4	HI
82.3536	88.6163	HI_5	HI
79.7576	86.7613	HI_6	HI
77.826	85.8385	LM_1_pool	LM
78.3485	86.1071	LM_3	LM
81.8859	88.8038	LM_4	LM
77.3859	85.2545	LM_7	LM
75.6177	83.8853	LM_8	LM
80.6833	87.7419	LOLA_1	LOLA
78.785	86.1454	LOLA_2	LOLA
78.6432	86.0747	LOLA_3	LOLA
80.3578	87.5018	LOLA_4	LOLA
77.9542	85.6134	LOLA_5	LOLA
79.5417	86.822	LOLA_6	LOLA
80.9636	87.5356	NEH_1	NEH
81.0907	87.5727	NEH_2	NEH
81.9887	88.4021	NEH_3	NEH
83.0431	89.2251	NEH_4	NEH
81.1688	87.8081	NEH_5	NEH
80.5809	87.4629	NEH_6	NEH
81.2857	87.8541	NG_NH0H4	NG
78.6404	85.6114	NG_NH2F6	NG
78.7202	85.6018	NG_NH2F8	NG
80.8985	87.5044	NG_NH2M1	NG
77.9475	85.7239	OBOYS2_1	OBOYS2
78.4112	86.0779	OBOYS2_2	OBOYS2
79.2156	86.9706	OBOYS2_3	OBOYS2
77.2418	85.1607	OBOYS2_4	OBOYS2
78.4691	86.1592	OBOYS2_5	OBOYS2
80.4737	87.7767	OBOYS2_6	OBOYS2
79.447	86.8789	SL_1	SL
77.5398	85.3585	SL_2	SL
79.744	87.1454	SL_3	SL
77.8405	85.6596	SL_4	SL
80.3312	87.5508	SL_5	SL
78.9062	86.4634	SL_6	SL
80.4979	87.3661	SM_10	SM
79.4197	86.6241	SM_11	SM
79.8611	86.8614	SM_12	SM
80.8177	87.5971	SM_7	SM
79.792	86.9012	SM_8	SM
79.8686	86.9997	SM_9	SM
78.7581	86.1064	UMFS_1	UMFS
80.0194	87.1714	UMFS_2	UMFS
80.9078	87.6549	UMFS_3	UMFS
81.2166	87.9809	UMFS_4	UMFS
79.5327	86.5656	UMFS_5	UMFS
80.2762	87.1443	UMFS_6	UMFS
